	id	params	train_rmse	test_rmse	train_mape	test_mape
0	1.0	{'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	12.9574895337997	7.784205768749768	8.562401843156639	5.696554194188804
1	1.0	{'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'nthread': 4}	12.439383797564403	7.828547317975078	8.26489791357861	5.758176668311483
2	1.0	{'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	11.942658877549423	7.7560570354486975	7.96719583296594	5.725135212828622
3	1.0	{'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	7.374147876313422	7.040924860904901	4.843352948966537	5.07346026659123
4	1.0	{'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'nthread': 4}	6.215144405693979	7.154566132899399	4.095460217445835	5.022195313752883
5	1.0	{'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	5.139464825593669	7.183007611662121	3.3913079773515964	5.06436309270072
6	1.0	{'gamma': 0.0, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	6.22887892468951	7.0623490765910635	4.062769505525134	5.034989437953991
7	1.0	{'gamma': 0.0, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100, 'nthread': 4}	4.96783513819161	7.138481458021042	3.2534758967226534	5.002322850452539
8	1.0	{'gamma': 0.0, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	3.9598083573650653	7.151573126047263	2.565958059940192	5.07240548136031
9	1.0	{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	12.9574895337997	7.784205768749768	8.562401843156639	5.696554194188804
10	1.0	{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'nthread': 4}	12.439383797564403	7.828547317975078	8.26489791357861	5.758176668311483
11	1.0	{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	11.942658883224059	7.7560570354486975	7.96719581907723	5.725135212828622
12	1.0	{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	7.374147876313422	7.040924860904901	4.843352948966537	5.07346026659123
13	1.0	{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'nthread': 4}	6.21514513299587	7.154565800869695	4.0954533577870516	5.022194894792167
14	1.0	{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	5.171050284538392	7.058863739001881	3.4070104099854697	4.9374484868704975
15	1.0	{'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'nthread': 4}	6.228878660408651	7.0623499860529275	4.062770140641472	5.034989963188685
16	1.0	{'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100, 'nthread': 4}	5.007636817156056	7.087157393961785	3.263178850341141	5.052067411560456
17	1.0	{'gamma': 0.1, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100, 'nthread': 4}	3.91700146396529	7.1313009258020195	2.542383581682301	5.0894165940753275
